Dormitory Manager Heroine,1
Dogs,1
Discreet Sex,1
Discipline Committee Leader Heroine,1
Disappearance,1
Dirty Talk,1
Descriptions of Violence,1
Denpa,1
Demon Heroine,1
Delinquent Protagonist,1
Delinquent Hero,1
Deity Protagonist,1
Daughter Support Character,1
Dark Skinned Heroine,1
Dancer Heroine,1
Crippled Protagonist,1
Crime Family,1
Crime,1
Corruption of Characters,1
Cook Hero,1
Contemporary Fantasy,1
Conspiracy,1
Comedic Love Triangle,1
Combat with Firearms,1
Combat with Exotic Weapons,1
Combat Capable Friends,1
Co-worker Heroine,1
Chuunibyou Heroine,1
Chuunibyou Hero,1
Childishly Violent Protagonist,1
Child Protagonist,1
Changeable Font,1
Catgirl Heroine,1
Carryover Save,1
Cannibalism,1
Cafe,1
Bukkake,1
Brother Support Character,1
Brocon Support Character,1
Brocon Heroine,1
Bookworm Protagonist,1
Boke Heroine,1
Bodyguard Heroine,1
Boarding School,1
Blood-related Brother/Sister Incest,1
Black and White,1
Black Comedy,1
Baseball,1
Background Moans,1
BDSM,1
Attempted Rape,1
Athletics Festival,1
Athlete Heroine,1
Asian-style Manor,1
Artist Protagonist,1
Arrogant Protagonist,1
Archery Club,1
Apartment Building,1
Antihero Protagonist,1
Animals,1
Anal Rape,1
Anal Fingering,1
All Adult Heroines,1
Airplane,1
Afterlife,1
Adultery,1
Action,1
AI Protagonist,1
AI Hero,1
